URL,职位描述
https://jobs.51job.com/hangzhou/172065315.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,"美团平台为用户的基础产品体验负责，还承担了美团的用户增长、市场和品牌营销以及多条业务线的产品设计职责，建立了融合文字、图片、视频和直播等不同形式的內容生态系统，同时整合地图服务部、客户服务和体验部、企业业务部、网约车业务部等部门，致力于用科技提升美团数亿消费者、近千万商家、骑手、司机和团长的服务体验。美团平台拥有高并发、多业务的复杂场景，为技术深度优化提供了***实践可能。这里有简单、讲逻辑、有爱的团队，更是一块理想的实战场地，舞台广阔，欢迎你来尽情施展。

岗位职责
1.负责Agent应用方向的产品规划和策略制定，保障用户体验。
2.负责Agent应用相关模型能力的迭代优化和工程实现，保证产品能力的先进性。
3.分析市场需求和竞争对手情况，不断优化产品功能和性能。

岗位基本需求
1.本科及以上学历，计算机等相关专业优先。
2.具有至少3年AI产品管理经验，有团队管理经验。
3.具有较强的沟通能力、团队合作能力和项目管理能力。
4.熟悉Agent应用方向的市场动态和发展趋势，具有较强的产品洞察能力。
5.对数据敏感，能够基于数据进行产品决策和优化。

岗位亮点
1.有机会参与公司产品的战略规划和产品方向的制定，对公司整体发展有重要影响。
2.拥有领导团队的机会，可以锻炼团队管理和领导能力。
3.能够与公司其他部门密切合作，拓展视野和提升综合能力。
职能类别：
策略产品经理"
https://jobs.51job.com/hangzhou-scq/171849596.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,"1.专业要求：计算机科学与技术、软件工程、网络工程、电子信息工程、通信工程、自动化、信息管理与信息系统、数学与应用数学、统计学、物联网工程、人工智能、智能科学与技术专业；
2.学历要求：全日制本科及以上学历；
3.学位要求：学士学位及以上；
4.年龄要求：40周岁及以下；
5.工作年限及经历要求：2年及以上AI 应用开发工作经验，其中至少 1 年独立负责智能体项目的全生命周期开发经验；精通智能体核心功能开发，能实现架构设计落地；具备多模态交互开发经验；有行业场景智能体落地经验者优先；
6.其他要求（职称、资格等等）：无。
职能类别：
算法工程师"
https://jobs.51job.com/hangzhou-scq/171993649.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,"总体职责: 以技术开发为核心，先独立或主导设计、开发面向OTC事业部业务场景的AI工具（如智能客服、内容生产、数据分析、业务诊断类AI应用），再通过运营手段落地使用，赋能品牌宣传、客户服务、数据洞察、销售团队能力四大维度，实现：“先造工具、再用工具提效”，打造懂技术、会运营的复合型AI业务团队，驱动业务增长与客户体验升级。
1、AI工具开发与迭代。基于Python/Java等编程语言，结合大模型API、数据分析库、可视化工具等，开发面向业务场景的AI工具：包括但不限于微信问诊群智能客服机器人、视频号内容生成与投放优化工具、销售沟通录音分析系统等。
2、负责AI工具的需求调研、架构设计、代码实现、测试上线与持续迭代，优化模型响应速度、准确率与用户体验。
3、沉淀AI工具技术与行业方案，评估并引入新技术（如RAG、Agent）优化现有工具，保持工具竞争力与业务适配性。
任职要求：
1、本科及以上学历，计算机、软件工程、数据科学、人工智能等相关专业优先；
2、有2年以上AI工具开发/AI产品开发相关工作经验，有医疗、大健康或AI应用落地经验者；具备从0-1开发AI工具并落地的完整项目经验优先；
3、熟悉掌握至少一门编程语言，能独立完成后端逻辑开发、API对接与简单前端交互；
4、了解常见AI工具部署流程，能独立完成工具上线与维护；
5、具备较强的学习能力、问题解决能力与跨部门沟通协作能力；
6、责任心强，能承受一定工作压力，积极主动推进项目落地。
薪酬结构：岗位工资+绩效奖金+福利补贴。
社会保险：五险：养老、医疗、失业、工伤、生育、意外险
两金：住房公积金、企业年金
职能类别：
技术经理"
https://jobs.51job.com/hangzhou-laq/171943065.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,"我们需要的不是“懂AI的人”，而是能把AI真正用进每一个业务岗位的执行者——从销售到客服，从运营到内容，一个一个岗位地改造，把AI工具做进日常工作流里。
重点提示：这不是实验项目，是要在真实业务里跑起来的，沟通时需明确告知候选人岗位核心是“业务AI化落地”，而非纯技术研究。

任职要求
核心硬性要求（必须全部满足，缺一不可）
1.全栈独立交付能力：熟练掌握Python / Node.js后端开发，能完成基础前端交互页面开发；可独立完成“需求对接→开发→上线→迭代”全流程，无需专人指导，具备完整项目经历（非单一环节参与）。
2.AI实战能力（拒绝“仅了解”）：有主流LLM API（OpenAI / DeepSeek / 通义等）使用经验，熟练掌握Prompt编写、参数调试；至少使用过Dify / FastGPT / Coze / LangChain中的一种，搭建过完整AI流程；有RAG知识库搭建或多步骤Agent工作流搭建经验者优先。
3.业务沟通能力：能主动对接销售、运营等业务部门，独立挖掘业务需求，无需产品经理提供完整需求文档；能将技术方案转化为业务语言，推动业务同事接受并使用AI工具。
职能类别：
深度学习工程师"
https://jobs.51job.com/hangzhou-xsq/168399716.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,"岗位职责：
1、AI自动化与大模型应用
协助搭建公司AI自动化平台，研究大模型在业务中的应用，开发相关功能模块。
2、RPA流程开发
运营RPA技术开发自动化流程，优化现有流程，提升工作效率。
3、网站与软件维护
负责公司网站更新与维护，协助内部软件系统的技术支持与升级。
4、技术支持与文档整理
提供内部IT技术支持，协助编写技术文档。

任职要求：
1、计算机、软件、人工智能等相关专业本科及以上学历，优先考虑有AI项目经验者。
2、学历能力强，逻辑清晰，有责任心，具备团队合作精神。
3、有相关项目经验，对新技术有敏锐洞察力。
4、985、211应届生优先考虑。
职能类别：
IT技术支持"
https://jobs.51job.com/hangzhou-bjq/157248747.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,"工作职责：
1.负责细分行业(如政务等)的知识数据清洗挖掘、知识图谱构建、智能问答系统落地实现，包括但不限于智能问答、智能写作、个性化推荐等应用；
2.参与并落地模型和系统、应用的搭建及工程化部署，确保服务端的稳定性、可扩展性、安全性和效率；
3.负责异构图管理及演化、专家知识沉淀的图谱构建系统的搭建。

任职要求：
1.人工智能相关专业，全日制硕士学位以上，计算机科学相关专业背景；
2. 研究方向是知识图谱及其应用（有论文为证优先）。

加分项：
1. 有医疗领域知识图谱相关经验者优先；
2.有知识图谱、图存储/图计算、LLM应用、机器学习等领域相关经验。
职能类别：
算法工程师"
https://jobs.51job.com/hangzhou-scq/171866045.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,"总体职责:通过AI技术赋能，对OTC事业部负责产品的品牌传播、客户服务、数据洞察、销售团队能力四个维度提升业务效率与效果，打造懂AI的高效运营团队，助力业务增长与客户体验升级。
1、视频号矩阵。负责品牌广告片的策划、脚本撰写、制作统筹及平台投放，通过视频号矩阵传播品牌价值，提升品牌曝光度与影响力，同时，对视频的传播数据分析用户行为与内容效果，持续优化内容方向与投放策略；
2、问诊群客户服务与AI赋能。推动AI自动化回复工具在微信客服场景的落地应用，优化AI话术库与回复逻辑，提升服务标准化与响应效率；
3、AI数据分析。运营AI工具与数据分析方法，对客户行为、服务效果、内容传播等业务数据进行深度挖掘与分析，并输出可视化数据分析报告与业务洞察，为客户成功、服务优化及业务决策提供数据支撑；
4、团队能力建设与业务诊断。利用AI技术对销售团队的商务谈判、客户沟通及内部培训过程的录音进行分析，定位业务痛点并提出可落地的改进方案，从而提升团队整体业务能力。
任职要求：
1、本科及以上学历，市场营销、传播学、计算机、数据分析等相关专业优先；
2、有2年以上AI运营/客户服务/数据分析相关工作经验，有医疗、大健康或AI赋能行业经验者优先；
3、熟悉视频号等新媒体平台运营逻辑、能独立完成广告片策划与内容优化；
4、了解AI客服工具、数据分析工具，具备较强数据处理与分析能力；
5、具备良好的客户沟通能力、谈判技巧与团队协作意识；
6、对AI技术有浓厚兴趣，具备快速学习新工具、新方法的能力；
7、责任心强，能承受一定工作压力，积极主动推进项目落地。

薪酬结构：岗位工资+绩效奖金+福利补贴。
社会保险：五险：养老、医疗、失业、工伤、生育、意外险
两金：住房公积金、企业年金
职能类别：
算法工程师"
https://jobs.51job.com/hangzhou-qtq/171362094.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,"CRM客户管理系统、市场营销/市场数据分析、PLM项目管理系统、QMS质量管理系统、财务系统/人力资源系统/OA系统、MES制造执行系统、WMS仓储管理系统等相关系统AI项目奖经验优先

职位概述：
负责公司人工智能技术在实际业务场景中的落地实施，围绕大模型、智能算法与业务系统深度融合，主导 AI 应用从需求分析、方案设计、开发集成到上线运营的全生命周期管理。与业务部门、产品团队和技术团队紧密协作，推动 AI 应用规模化复制并持续产生业务价值。
主要职责：
AI 应用方案设计与落地：
1、主导业务场景 AI 化需求分析，将业务目标拆解为可实施的 AI 应用方案
2、设计 AI 应用整体技术架构（模型、数据、系统集成方案）
3、组织并推进 AI 应用从 PoC 到生产环境的落地实施AI 应用方案设计与落地：
大模型能力与工程化能力：
1、负责大语言模型（LLM）的选型、接入、微调与应用封装
2、推动 RAG、Agent、工具调用等能力在业务系统中的工程化落地
3、建立模型推理服务标准（性能、稳定性、成本）
系统集成与业务对接：
1、主导 AI 应用与现有业务系统（ERP、OA、CRM 等）的集成对接
2、制定接口规范与安全策略，保障数据与模型调用安全
3、监控 AI 应用在生产环境的运行情况与异常处理
应用效果评估与持续优化：
1、建立 AI 应用效果评估指标体系（效率、质量、成本、用户满意度）
2、组织 AI 应用的 AB 测试与效果复盘
3、持续推动模型、提示词、流程和系统性能优化
任职要求：
1、3 年及以上 AI / 数据 / 智能应用相关工作经验；
2、至少 1–2 个 AI 应用在真实业务场景中落地并稳定运行的实践经验；
3、有大模型应用、RAG 或智能体项目经验者优先。
职能类别：
算法工程师"
https://jobs.51job.com/hangzhou-scq/171938244.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,"岗位职责：
1、深入分析营销业务各环节，识别AI优化机会点，研究评估市场主流AI工具，建立AI应用规范与实践，设计并实施AI赋能方案；
2、设计并搭建面向营销业务的AI智能体工作流，建立智能体协同机制，打造高效协同的""AI军团""，持续监控效果并基于数据反馈迭代优化；
3、制定并实施营销全员AI技能学习计划，推动AI思维方式在组织内普及，通过案例分享、创新竞赛等活动提升组织AI应用素养，建立AI应用知识库，沉淀实践与方法论；
4、定期关注并汇报AI应用进展与业务影响，基于数据驱动决策持续优化AI应用策略；
5、构建内部AI认知体系，主导业务团队培训与***的实践推广；

岗位要求：
1. 5年以上工作经验，有咨询公司战略/技术咨询背景或企业战略部经验；
2. 有0到1实操AI项目经历，主导过AI项目全周期落地（需求定义→上线运营）；能够设计创新的AI+营销解决案；
3. 具备出色的分析洞察能力，对新技术和行业趋势保持敏锐度，善于挖掘新机会；
职能类别：
算法工程师"
https://jobs.51job.com/hangzhou-gsq/171806080.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,"AI Specialist AI 专员
岗位描述：
1、 深研究 AI 搜索算法逻辑与内容偏好，制定适配 AI 搜索习惯的优化策略，确保内容效触达标户。

2、 研究并实践 AI内容收录与引用逻辑（如：ChatGPT、Claude、Perplexity 等），提升 公司 在 AI 回答、知识总结、行业问答中的 出现率与引用率；

3、深理解并实践 “模型优化”（如 Deepseek、腾选元宝、Kimi、、包等主流平台）确保我们的品牌和学校相关信息内容能被主流 AI 模型优先收录和推荐，能够到户利模型具搜索，即可成准确的投放内容，基于标户需求进精准关键词布局与内容优化，搭建从 AI 搜索场景到官的引流路径，引导户连接到公司的营销账户（官、微信公众号等社交平台）

4、 运 AI 具搜索引擎优化（如 SEO 插件、内容分析平台）进关键词研究、竞争对分析，制定超越传统思维的 SEO 策略。并且配合社交媒体同事进各社交媒体平台（微信、微博、抖等）的账号搭建与内容投放，为模型持续维护正确的内容资源库检索础

5、参与公司官网及内容的 SEO 基础工作，协助提升品牌词、技术词在搜索与AI系统中的权重

任职条件：

1、 熟悉 如 Deepseek、腾讯元宝、Kimi、、通义千问等主流 AI 搜索平台的内容成机制、排名规则及优化逻辑，能精准把握 AI 搜索的内容需求点。

2、熟悉 Chinaz、百度站站工具、5118 SEO tool 等工具等使用规则

3、拥有 AIGC（智能内容成） 内容优化相关经验，了解如何通过内容设计与优化让AI 搜索平台更偏好展示标内容。

4、熟练掌握 GEO（AISEO）方法论，了解 AI 内容生成、语义分析、智能推荐等技术在 SEO 中的应用场景与实践路径。

5、具备 2 年以上 SEO 优化相关作经验，拥有 AI 搜索平台（如 Deepseek、kimi、包等）优化成功案例者优先，需提供过往案例证明（含优化前后流量/排名变化、搜索舆情优化等关键成果）。

远程办公
薪资参考：9 -10K
筛选试：
线上试，通过后试期 6 个
职能类别：
机器学习工程师"
