标题,标题链接,sal,er,er2,er1,字段1,采集时间,抓取时间
AI应用方向负责人,https://jobs.51job.com/hangzhou/172065315.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,5-8万,美团,,已上市,10000人以上,,2026/5/14 17:13
AI应用工程师,https://jobs.51job.com/hangzhou-scq/171849596.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,2.5-4万,浙江中国轻纺城网络,,国企,150-500人,,2026/5/14 17:13
AI运营（技术开发方向）,https://jobs.51job.com/hangzhou-scq/171993649.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,1.5-2.5万,浙江仙居制药销售,,民营,1000-5000人,,2026/5/14 17:13
ai应用工程师,https://jobs.51job.com/hangzhou-laq/171943065.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,1.8-2.8万,星空深智（杭州）科技,,民营,少于50人,,2026/5/14 17:13
IT专员（会AI项目）,https://jobs.51job.com/hangzhou-xsq/168399716.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,8千-1.2万,杭州瑞力幸科技,,民营,,,2026/5/14 17:13
AI高级开发工程师,https://jobs.51job.com/hangzhou-bjq/157248747.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,1.6-3.2万,上海杏和软件,,民营,150-500人,,2026/5/14 17:13
AI运营（AI实用方向）,https://jobs.51job.com/hangzhou-scq/171866045.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,1-1.5万,浙江仙居制药销售,,民营,1000-5000人,,2026/5/14 17:13
AI应用工程师,https://jobs.51job.com/hangzhou-qtq/171362094.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,1-2万,浙江三花汽车零部件,,已上市,1000-5000人,,2026/5/14 17:13
AI应用经理,https://jobs.51job.com/hangzhou-scq/171938244.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,3-5万·14薪,浙江同富特美刻,,民营,1000-5000人,,2026/5/14 17:13
AI 专员,https://jobs.51job.com/hangzhou-gsq/171806080.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,9千-1万,广州莱佛士设计培训学院,,外资（非欧美）,1000-5000人,,2026/5/14 17:13
